text,tweet_ids,sentiment1
"@marimar05763894 Maraming pilipino ang naniniwala na dinaya talaga si BBM last 2016 election,at tama ka ang totoong diktador ay mga AQUINO. Babawi Tayo sa Next Election! Kung ang mga pinklawan supporters ay malakas manira dahil sa mga trolls nila. Tayo naman ay totoong tao na may boto.",['1473309418175361025'],0
Gusto ko na issuggest na DepEd na lang ang Comelec. Bigla ko lang naaalala na sila nga pala tagabilang sa eleksyon pag wala smartmatic. grinning face with sweat grinning face with sweat [LINK],['1440662183105286151'],0
"@pinoyanghang Korek! Dami ko nga nahila magpa register last 2016 na halalan para ke PRRD kahit di pa sya sigurado nun. Katwiran namin, di wag bumoto kung di sya tumakbong presidente. Malas lang ng mga kalaban ni PRRD. Natuloy syang kumandidato nung 2016. Hiyawan kami sa tuwa nuon.",['1443543949855969292'],0
2022 election ngaun nyo mararamdam ang galit ng mamamayang pilipino sa ginawa nyo pandaraya last election.#BBMIsMyPresident2022,['1448531716554039299'],0
@KUglyton Maging Pangulo ka Mahal namin #BBM @bongbongmarcos dhil ikaw itadhana ng makapangyarihan sa lahat ngyon darating na 2022 election hundred points ! Khit ano magic gawin mga malinlang na PINKachu hndi nila kaya dahil mas mataas kapa ky du30 makuha mo boto! Landslide kayo ni Sara folded hands,['1473661682433937408'],0
@VancouverEye I dont think its true.Sa darating na election diyan na malalaman eh.Paulit2 nlang sila except Risa kc maayos cia mamuno.Sabi nga expect the unexpected.Malay natin nasa team VP Leni ang huling halakhak.Manifesting the victory raising hands raising hands raising hands,['1493193852328583174'],0
"Dahil malapit na ang national election ansaya saya siguro kung may GGV, kuleeeeet ni meme @vicegandako sa mga aspirants",['1484514889368485893'],0
pag dinaya ang eleksyon kilala ang takot matalo face with hand over mouth,['1446026280709746689'],0
"Wag na po awayin si SAP Bong Go. Hayaan na lang po muna nating humupa ang lahat. Marami pa pwedeng mangyari sa loob ng 5 months. Besides, UNITY is our goal para maipanalo natin si BBM and Inday Sara sa Election. Wag po tayo magpa-distract please. #BBMSARA2022 #MarcosSaraOnly",['1461892298623447047'],0
"Pampa Good vibes yung live ni VP Leni, kahit ang daming gigil sa oplan baklas ng COMELEC.",['1494258190640246784'],0
@inquirerdotnet Sure win kasi si bbm kaya last option disqualification haha. Cgurado ako aabot ng 30million ang boto ni bbm sa election dahil marami kami solid bbm.,['1473456294183206915'],0
@itsmeJudie0810 Tuwang tuwa c Kuya so happy to see him jump for joy sa pagwagayway ni BBM ng bandila ng Pilipinas.Praying for BBM and SARA for a sure win this coming election folded hands folded hands folded hands,['1498015640699170817'],0
"While acquiring a document here at COMELEC, I noticed this. Bigla na naman akong nagke-crave ng iced tea hahahaha @Comelec Quezon City 4th District [LINK]",['1486616855699677184'],0
"Noong 2016 presidential election takot na takot ako mag comment sa fb kasi kukuyogin kaagad ng mga trolls pag anti DU30 ka, pero ngayon palaban na tayo! Laban lang mga Kakampink! #LeniKiko2022 #LetLeniLead2022 #ItwillbeLeni",['1470945386978283525'],0
Sobra kong naappreciate ang It s Showtime sa mga ginagawa nila ngayon. - VP Leni Robredo - Chel Diokno - Register To Vote - Corrupt Officials Base sa napapanood ko yan lang naman ang pinag-uusapan nila at sobrang laking bagay nyan sa paparating na eleksyon.,['1438872434648576001'],0
Ang saya ng campaign period and election sa province namin. Literal na magkakamag anak pero nag aaway dahil lang election. Kaya gusto ko umuwi ngayon eh gusto ko makipag bardagulan HAHAHAHABHAHAHWHAHA,['1488154258226937856'],0
"Sa election, pare-parehas ng kapangyarihang mamili ng pinuno kaya mag-isip ng mabuti at bumoto ng mahusay. Walang VIP o Gen Ad kay Leni Lahat - pati ang mga nasa laylayan ay mga VIP para sa kanya. #TibayHusayPagmamahal #LetLeniLead2022 #LeniKiko2022 #LeniforPresident2022 [LINK]",['1452474530153123842'],0
"Yung napakiusapan ka lang kumuha ng HD, pero pagdating mo bigla ka pinagsulat at pinag-edit para sa isang election primer hahaha",['1480220988101259264'],0
"kanina sa morning walk namin ng anak ko, tinanong ko yung hardinero dito sa subdivision namin kung sinong iboboto nilang mag-asawa,""leni po kami, ma'am.""ang saya. praying for pink victory this coming election. growing heart folded hands growing heart #LeniAngatSaLahat #LeniforPresident2022 #Kakampink",['1493419235674001410'],0
"Magandang araw mga Isko! Registered voter ka na ba? 9 araw na lang ang natitira bago ang huling araw ng pagpaparehistro! Huwag palampasin ang pagkakataong makiisa sa pagbabago. Kung hindi ka pa nakakapagparehistro, pumunta lamang sa link na ito [LINK] [LINK]",['1440239384326983680'],0
Nakaka tuwa talaga ng sobra sobra Election 2022 here we go! MARCOSJR SUPREMACY #BBMSARA2022 [LINK],['1459421413664714752'],0
"@NewsKoPH @iampinglacson kaya sa mga kababayan ko wag na po sana naten sayangin ang boto naten sa may 2022, ihalal po naten ang taong may disiplina at galit sa magnanakaw sa kaban ng bayan. Sen Ping Lacson for 2022 presidential election.",['1507106603627003911'],0
"@News5PH After ko mapanuod ang interview ni Tony kay BBM, kung ngaun n ang eleksyon ay iboboto ko sya s Presidency. Naramdaman ko ung sincerity ni BBM s bawat salitang binitiwan nya during the interview.",['1439514570813497348'],0
"Mariing kinukundena ng Bayan Muna ang marahas na tugon ng kapulisan sa mapayapang protesta. Hinarang, tinulak at ginamitan ng watercannon ang mga nagpoprotesta. Sa kabila ng pananakot hindi nagpatinag ang mamamayan upang irehistro ang galit laban sa daayan sa naganap na halalan. [LINK]",['1529333771622707201'],0
"@yureeeee @Moniqu3n Proud kami na after 3 times nag alburoto si dayunyor dahil natalo, hindi nabaligtad ang totoong results ng election, considering na majority ng members ng Comelec and Supreme Court ay puro tauhan ni PDUTZ na galit at ayaw kay VP Leni. Kaya puro nonsense comments and memes kayo.",['1516853178465095681'],0
"@bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022 [LINK]",['1439607044844052487'],0
no matter wat happen basta lahat tayung supporters ni bbm kkapit hanggang sa eleksyon.grabee naawa na tlaga ako ky bbm lahat cla pinagttulongan nla loudly crying face,['1461416087958945793'],0
@imlrynsj20 Huwag mo pansinin maam ilang araw nalang tapos na eleksyon.Relax kalang habang sila may galit sa puso nila.,['1520893733449117696'],0
@mavzkie0727 @iam Wrestle Hahaha yown oh. Saya nun if ever dami natn pagkakabusyhan. After election kailangan natn sila pang detoxify face with tears of joy face with tears of joy face with tears of joy smiling face with smiling eyes winking face,['1518814516016193536'],0
"Kay VP Leni, natural lang tumulong, may eleksyon man o wala hindi magdadalawang-isip na lumapit sa mga tao para kausapin at bigyan ng lakas ng loob. Sanay tumulong sa nangangailangan kahit saang dako ng Pilipinas, kahit anong oras. Kanino ka pa? VP Leni Robredo for President!",['1472901038302973953'],0
@JayHuertas4 @manilabulletin Okay lang po yan. Hayaan na sila sa survey. Pag dating ng election Hindi naman yan makakaboto. Ang ikakapanalo nila kay VP Leni ay ang malawakang dayaan. Kasi si VP Leni ay kandidato ng mga nasa laylayan na ang tangin makiranya ay manalig sa poong maykapal. folded hands folded hands folded hands cherry blossom cherry blossom cherry blossom,['1461560273488121857'],0
"Ang bilis lumipas ng isang linggo. Hindi ko napansin dahil siguro babad sa trabaho, sa ingay, at sa mga virtual tawanan. Nawala ang lungkot at agam-agam dulot ng eleksyon. growing heart Maraming salamat sa inyo, @empaneda @ampedocles @thynicolette.",['1527616670654943233'],0
"@shiela mangahas @BrujaDelDemonio Actually, kawawa ung susunod sa knya na presidente dahil talagang pinabasak ni digz ang bansa may mga alipores pa rin yan sa mga ahensya kaya need talaga may puso at matapang ang papalit kaya bet ko sila leni and sentri for the next election.",['1440242091506880513'],0
"tawang tawa ko sa""magtanim""ano to vev school election? HSGDHDHSHS",['1484867462453956609'],0
"@lakwatsarah Hala sana wag nila ilagay si Leni sa pedestal.haha Joke lang po. Part na po ata ng eleksyon yung nagiging over protective ang ilan. We bring her to down to us, para di tayo matakot maningil kung may mali. Di po santa si vp. tumatawa, nagttrip din siya. easy lang mga dudes",['1463740007122817025'],0
ang saya feel ko ang daming naka pink sa election day two hearts,['1446034716885282817'],0
Sana ihalintulad ang #SquidGame sa election para kung sino man matira sa mga tatabong President o Senators sila ang uupo para mamuno sa bansa. Hahaha ang saya siguro nun. Patay kung patay. Charr! face with tears of joy face with tears of joy,['1441176566554234886'],0
"@NewsKoPH @iampinglacson Sen, Lacson for 2022 presidential election. Subok na may mataas na moral sa sarili, integridad,disiplina at galit sa kurakot.",['1507249530693373960'],0
Wait dami kong tawa HAHAHA color red daw yung mama ko sa election HAHAH color pink kaya ako person facepalming light skin tone sneezing face face with tears of joy,['1457605766718713857'],0
@MJBautistaCPA Tapos sa election naka pang red tayo. Ang saya siguro smiling face with hearts,['1447784411089420289'],0
"@NewsKoPH @iampinglacson kaya sa mga kababayan ko wag na po sana naten sayangin ang boto naten sa may 2022, ihalal po naten ang taong may disiplina at galit sa magnanakaw sa kaban ng bayan. Sen Ping Lacson for 2022 presidential election.",['1501517473790963716'],0
@PHLoyalist Hinding hindi po! BBM Duterte lng ang kayang gawin yan.BBM for President at PD30 po for vice sa election 2022!,['1440882046771990533'],0
"Nasa punto na ako na kung kaya kong sumundo ng lahat ng hindi pa registered voters, gagawin ko para ihatid sila sa COMELEC offices satellites. Gigil yarn? grinning face with sweat Kung eligible, sana mabigyan natin ng oras ang pagpaparehistro. Ingat tayong lahat lagi! @SB19Official #SB19 [LINK]",['1442496745758355458'],0
Vs kuta ni bbm ang mga taong boboto s comelec para s kanya face with tears of joy #BBM2022 [LINK],['1450757550584918019'],0
@kristine danica kada salita nyo iyak ako ng iyak. salamat sa pagtindig at walang sawang suporta. godbless to both of you. godbless the Philippines. patuloy po tayong magdasal para sa payapang eleksyon.,['1522065976040525824'],0
No one is saying na twitter is near reality kasi privilege tayong lahat na nandito. That hashtag is just to show support VP Leni in her decision. We know na hindi yan ang election but it is important na maramdaman ni VP Leni na may sumusuporta sa kanya. [LINK],['1441355609614348293'],0
"Kailangan maipanalo si Leni, Kiko, Leila and Trillanes sa election.",['1461213075202138116'],0
"Ako si Leni, isang nurse, ay sumusuporta sa Nurses United Party-List. Panahon na para bigyan ng boses ang mga nurses at health workers sa Kongreso! #LetNursesRun #NursesUnited @COMELEC @rowena guanzon [LINK]",['1463099793241096192'],0
@manilabulletin Tinde talaga ng BBM-Sarah tandem.alikabok ang iniwan sa mga sumusunod ng kalaban.landslide victory to sa May 2022 election grinning face with sweat grinning face with sweat grinning face with sweat khit saang survey #1 ang Pres at VP.dami n nmng galit na dilawan nito face with tears of joy face with tears of joy face with tears of joy,['1504433799601528832'],0
Kaya sa election Kay VP Leni at Senator Kiko lang tayo lahat.,['1452077904498622469'],0
@iamtix95 Here in Cavite the People was in favor between Lacson and BBM pero di ako nawawalan ng pag asa dahil kahapon sa pila ng Comelec May grupo ng mga kabataan na first time voters narinig ko si VP Leni iboboto nila,['1451085176629456899'],0
@bbm sara2022 Marami kasi bulag at bingi kaya itong darating na Election 2022 sana mas dumami na yung GISING sa katotohanan thumbs up clapping hands red heart folded hands latin cross #BBMIsMyPresident2022,['1471349717414342659'],0
@bongbongmarcos Guys pagawa tayo ng tshirt tulad nung suot ni Sandro sa tiktok smiling face with heart-eyes suot natin sa election red heart ang saya nun red heart red heart red heart,['1451472546079993856'],0
Me baby sa election boto mo c sarah at bbm ahh.sabihin mo sa ka work mo na bbm at sarah tayo.buti nga bbm din plaa ka work niya. AKO LNG BA PATI BOYFRIEND SINASABIHAN KUNG SINO IBOBOTO rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing #BBMFORPRESIDENT2022 #BBMSARAH2022,['1472939704811233286'],0
@rotciv147 @manilabulletin @MB RAntonio wow dami trolls.consistent po si vp leni sa pagpunta sa kahat ng nasakanta ng bagyo.di lang pag election.coordination po ang tawag dyan sa ginagawa nya,['1472757856826892292'],0
nakakatuwa yung mga silent supporters! bigla sila naging vocal nung papalapit na election,['1521704871392530434'],0
"@krstnrrae @acetwtts @SB19Official Pinakita ko sa husbandry ko pics niyo sa nung namimigay kayo freebies until sa concert, gulat siya dami nanood ng con ket may mga rallies sa election. Pinakita ko talaga para exhibit A namin for future SB19 concerts hahaha @SB19Official #SB19",['1513333717791821824'],0
"Tawang tawa sila sa new popular Korean pose HAHAHAHAHA May disclaimer na si Edward, wala daw'yon kinalaman sa election HAHAHAHHAHA EDWARD OnASAP SHOWDOWN @Barber Edward #EdwardBarber",['1518085667804565504'],0
"Last 2 weeks ago, may pinuntahan kami ng tatay ko at habang nasa daan kami nag-usap lang kami sa darating eleksyon at ako nag-aalala at natatakot sa magiging resulta. Tapos nakita ko si kuya pedicab na may tarp na leni-kiko at bigla tuloy ako natuwa pleading face #KulayRosasAngBukas [LINK]",['1492701702813671424'],0
ngayon ko lang napanood presidential debate sa comelec grabe ang saya pagwala si bbm,['1505467926744211460'],0
Double time na po sa paninira malapit na eleksyon. Iyak na dahil ipapanalo namin si Bbm! [LINK],['1503948988034449409'],0
@pauloMDtweets @COMELEC naalala ko bigla yung DI ESSENTIAL ANG LUGAW nagviral face with tears of joy,['1494312088814391302'],0
"Magandang araw mga Isko! Registered voter ka na ba? 8 araw na lang ang natitira bago ang huling araw ng pagpaparehistro! Huwag palampasin ang pagkakataong makiisa sa pagbabago. Kung hindi ka pa nakakapagparehistro, pumunta lamang sa link na ito [LINK] [LINK]",['1440601764487569412'],0
galit kn b sa bulok na halalan? check box with check bet mo na ba ma-elbow si du30? check box with check us2 mo ba ng full pack ampahan pra sa pagbabago? check box with check edi join na sa kabataan kagandahan partylist growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart growing heart Registration Link [LINK] [LINK],['1443149226188234756'],0
Bigyan ng project yan! Support po natin ang mga Contractors na Para Kay VP Leni! Alam po natin gaano naiipit ang mga Contractors lalo na pagdating ng Eleksyon. Literal na ginagawang palagatasan ng pera sila ng mga ganid ay trapong pulitiko! Mabuhay ang mga Inhinyero ng Bayan! [LINK],['1463453819690356738'],0
"Wag niyo haluan ng galit at unnecessary drama yung pagpili sa mga tumatakbo. Pag tapos na ang halalan, mas mahalaga ba ang mga taong ito kaysa sa pamilya? Higit pa ring mas mabuti ang pagpili sa pamilya pero di niyo kailangan awayin kung di talaga mapalitan ang pananaw nila.",['1461402523353321472'],0
Tuwang tuwa mga Leni friends ko Nung sinabi ko na kapag dumating election wala parin allowance switch to Leni na ako hahahaha,['1517118407186927617'],0
Tange hahahahahahahaha gulat ako may election naba hhhhh sa qatar ako kc hndi nako naka vote bravo [LINK],['1475306687833812993'],0
@lenirobredo @bongbongmarcos pt. 5 mga galit sa puso at magkaisa tayong lahat. Alisin ang dapat alisin sa gobyerno at magsanib pwersa ang talagang may magandang hangarin at malasakit sa darating na eleksyon folded hands light skin tone Salamat po,['1519935371223900161'],0
"Ako si Clarice ng @AnakbayanVC at @girlsforpeaceph, at buong-puso at lakas kong sinusuportahan sa pagkasenador si Neri Colmenares sa darating na halalan. Isang human rights advocate, martial law survivor, galit at ayaw sa korapsyon at diktadura! #WeWantNeri #GenuineOpposition",['1448900382558601218'],0
Kinakabahan na ako pero tawang tawa ako sa mga election ph memes lol,['1523573442515116033'],0
@jose samaritan Tama po yan ka BBM.hayaan natin yung mga paninira.focus tayo sa goal ntn na panalunin si BBM sa 2022 election. victory hand victory hand red heart red heart Philippines Philippines,['1461703972113170432'],0
"grabe ang saya maging kakampink di man pinalad sa election, pero nagtayo ng organization si VP Leni para makatulong pleading face",['1525335218646749187'],0
#LiwanagSaDilim lsang pagbabalik tanaw. Isang snap election ang naganap bago nangyari ang people's power sa EDSA. Ang rehimeng marcos sr. ay nag-hasik ng binhi ng takot sa kanyang mga kalaban. Katulad ng nangyari sa Isabela. Hindi na natin papayagang maghari ang diktador!,['1494481250773393410'],0
Walden Bello is on fire! Kinausap na yung Comelec Chair bigla re Sara not showing up.,['1505523478497153024'],0
"@lesyeuxdejuno @amsiramc00 @Via21868342 @staryakal12 @News5PH @rowena guanzon Hahahaha, rolling on the floor laughing exactly , Yung malas pa , after niya ma DQ, sa Election , May warrant arrest na lumabas wahahah iyak sila",['1487414500626411522'],0
"@ninabeIlatrix @COMELEC iyak na lang po kayo? Don't Worry, Winner SI Leni #MarcosNumber1Sinungaling #UnbotheredQueenToniG #LutangLenlen #CDOisPink Illigan Tarlac Mandaluyong #SMNIpresidentialdebate SALN Balesin Prof. Carlos SISIMULAN KO Badoy [LINK]",['1496410502809145344'],0
"@AltABSCBN @PinoyAkoBlog tuwang tuwa siguro to every election, kc ganda ng business nila kumukitang kabuhayan. face with tears of joy",['1489519015848407043'],0
"TAWANG TAWA AKO NASA MEETING KASI AKO TAPOS NAGDIDISCUSS SILA SA WEBSITE E AMBAGAL MAGLOAD NG WEBSITE SO SABI NG WEB DEVELOPER NAMIN NA BIIBIIEM""SIMULA PO NUNG ELEKSYON BUMAGAL PO YUNG INTERNET""TAS YUNG BOSS NAMIN NA KAKAMPINK HUMALAKHAK""BILIS NGA NG TRANSMISSION NG VOTES EH",['1524656780554293248'],0
"@senatorjoelv Mama Ogie galing, Senator for sure mananalo po kayo ngayong eleksyon sa dami ng mga kapamilyang boboto sa inyo, di po ninyo alam na marami ang sumaya, natuwa at nanood ulit sa tv nong pinatuloy po ninyo ang mga programa ng abs sa A2Z.",['1484489693668716544'],0
@KimIndar @lenirobredo Thank for leni! Buti n lng nanjan c nanay leni kung wla cguro sya ano n ang mangayayari s ating lahat! Kya s darating na eleksyon patuloinpo nating suporthan c nanay leni. At ating iboto c BBM at SARA s darating n eleksyon! beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes,['1473280301296140293'],0
@wengsalvacion Mam nasa panahon po tayo ng nalalapit na election kaya may iba pa mam caravan na mangyayari. Unawaan na lang siguro mam basta bbm tayo mam,['1462330446621016066'],0
Ang cute ng katabi ko dito sa comelec huhu tas feel ko Leni supporter din sya pleading face white heart sparkles sparkles,['1452544845839364097'],0
@vivingski @solangaraw Napanood mo yung Tonight with John Oliver sa yt Ph Election? Nakakatawa sya peri bigla mong maaalala na pinoy ka din pala hahaha,['1525343318086782976'],0
"@bongbongmarcos Kung itoy nagsama for PRES. VICE PRES. tapos Ng HALALAN, iyak na ang mga DILAWAN este Pinkish na pala ngayon",['1452870697311555588'],0
"IF VP Leni won't run, tatakbo pa rin si Sen. Trillanes. Walang magiging unity between the true opposition and the""opposition by election.""Mahahati pa rin ang boto. Takbo na ma'am, dadagdagan pa natin mga boto mo. #LabanLeni2022",['1441605632717582339'],0
@flamingcamote HAHAHAHAHAHA yung fully vaxxed ka with booster pa tapos sa election lang pala takot ang covid grinning squinting face grinning squinting face grinning squinting face,['1464789743871299587'],0
@EbaloJhunior @Egoi10913286 @paulpauIpaul tingnan natin sa eleksyon kung na kanino yung huling halakhak.,['1490496252030894081'],0
"Last time umiyak ako sa harap ng pamilya ko noong ABS-CBN shutdown, next iyak ko for sure yung magiging resulta ng halalan, mas masarap kung iiyak ako dahil sabay-sabay at sama-sama tayong mananalo sa pagkahalal nina VP Leni at Sen. Kiko #LeniKiko2022",['1519546359401295873'],0
"Takot din naman ako sa election hearing na yan, kaya huwag na lang sumuporta. face with tears of joy",['1462368456330805251'],0
"sabi nga ni luke espiritu, ang galit na nararamdaman natin ay righteous indignation. hindi porket galit ka, hindi mo na na mahal ang bansa. hindi porket naniningil ka ay wala kang utang na loob sa bayan. galit tayo dahil gusto natin ng tapat na serbisyo at malinis na halalan.",['1524972107649589248'],0
"Shuta na lss na ko. Dun sa""Kay Leni Tayo""election jinggle. Kaka panuod ko sa youtube ng mga compilation sa caravan. Kahit di ko pa kabisado ung tono paulit ulit sa utak ko.",['1452345116597764097'],0
"@DickGordonDG @BigManDrilon Ahaha ang saya sa pakiramdam na madaming mga diktador sa senado ang mawawala na dahil ayaw na tumakbo at mawawala na dahil hindi mananalo sa susunod na eleksyon,yup dick isa ka dun.,.",['1464879041299849219'],0
I've been watching the PiliPinas Debate series for the 2016 election a while ago. Naramdaman ko yung intense ng batuhan ng mga statements and questions. Bigla tuloy akong na-excite sa debate for next year's election. Makikita talaga kung sino yung bobo face with tears of joy face with tears of joy face with tears of joy,['1469355114951745536'],0
"Nakakatuwa na ang daming sumusuporta kay VP Leni. Sana lang, wag siyang iwan sa ere kapag eleksyon na.",['1440868897113075717'],0
"@GerryCacanindin Totoo yan, si papa maka trapo, leader sya sa mga local election at traditional sya sa pagpili ng kandidato. Nung 2016, duterte sya kasi nakakabilib daw, tapos ngayon lbm naman. Sermon de gulat sya saamin. Leni na sya ngayon!",['1508500082974330880'],0
kahit ano pa paninira nio kay BBM wait nalang kami sa Election folded hands light skin tone folded hands light skin tone at mag kakalaman lang kung sinu ang mananalo.Sa mga OFws na solid BBM Kaya natin ito. folded hands light skin tone folded hands light skin tone #BBM lang sakalam.@sandromarcos7 @bongbongmarcos @SenImeeMarcos,['1449663138069106693'],0
"@lenirobredo Endorsing and supporting you should be the most normal thing sa election na ito, yung mga politiko na pumili ng iba isa lng ang nararamdaman ngayon kundi TAKOT. Takot manindigan, takot mawalan ng budget, takot mahalungkat ang katiwalian, takot sa INYO. Kaya ilalaban ka namin.",['1518458549545840640'],0
okay since inanounce na officially! ISKO MORENO is my president for 2022 election. Sayang walanh vico,['1440310931007832074'],0
So mao to sha i spent my whole afternoon watching videos on Facebook about sa mga mo dagan pagka president for next election. And ni isa i never heard BBM nga nang daot sa iyang kuntra. Like clapping hands light skin tone,['1450021342355460101'],0
@GilbertCRemulla @News5PH Panalo na si BBM! Yes! Yeheyyyyy! Ang laki nang lamang! Alright! No election needed! I-proclaim na yan! Yeyyyyy.,['1474042035426369537'],0
Pusuan ko lang ang dalawang strongest and winnable tandem ng bansa para sa susunod na halalan! Kapag inggit pikit! face with tears of joy zany face green heart green heart green heart red heart red heart red heart #SaraAllSa2022 Kasama si #BBM [LINK],['1451593725465956356'],0
"@lenirobredo Di masasayang boto ko sayo VP Leni sa 2022 eleksyon, amping lagi and God bless po folded hands heart decoration",['1472095623729930241'],0
"@143SkinnyBunny mahihirapan silang tibagin si SenTri ! kung korap si SenTri tulad nila, titirahin ba nila, hindi ah ?! ang election na ito ay laban sa pagitan na mga incorruptible team Leni against corrupt politicians and evil minded minions !",['1449665641070448645'],0
"Habang papalapit ang Eleksiyon, ramdam ko at nakikita ko ang pagkakagulo nila. Galit, inis at poot. Sana after this election makahanap tayo ng peace para sa isa't isa.",['1520276579766923264'],0
Don t let fake news cloud your mind na ginagawa lang naman ni VP Leni yung pagtulong dahil election. No! I witness her willingness to help lalo na yung nagkaroon ng massive flood sa Cagayan. VP Leni is there purely to help! [LINK],['1472344132647469057'],0
@CLICKED15732135 @erlynbatiao @rumflan60 @pinoyanghang face with tears of joy face with tears of joy face with tears of joy oo iiyak ako sa tuwa ngayon election kc panalo na kmi smiling face with smiling eyes,['1470385846348300291'],0
@MeowSpeedy @PhilstarNews @XaveGregorio Hahhaaha.ang saya saya s Pilipinas lalo n pag election,['1459807641643986944'],0
"@Politiko Ph @iampinglacson kaya sa mga kababayan ko wag na po sana naten sayangin ang boto naten sa may 2022, ihalal po naten ang taong may disiplina at galit sa magnanakaw sa kaban ng bayan. Sen Ping Lacson for 2022 presidential election.",['1507106651593064489'],0
"@Moneyma78808638 Ako hindi nag wo worry sa survey na yan. Check nyo nalang po sa google 2016 election survey, laging pangalawa or pangatlo lang si VP Leni pero sya ang VP ngayon. Si Escudero pa binoto ko nyan . grinning face with sweat",['1471097937270771713'],0
@jonabedar @rapplerdotcom @maracepeda Matagal na tumutulong yan si leni kahit Di pa election. Check po niyo mga previous work niya. Kahit yun pandemic. Dami niya nagawa. Tulong yan. Wag na ihalo ang politics,['1472518281567236097'],0
"Looking forward na madisqualify si Isko Moreno since nangangampanya na s'ya sa tv ads. Partida, wala pang official list ng candidates from COMELEC. Ingat, baka madeclare kang nuisance, sayang pera mo. winking face",['1449728836342403075'],0
@bongbongmarcos Thank you BBM. Hnd k n tlga nkkta ang 2022 n hnd ikaw ang President ng same with Sara as the VP. we are so excited to vote for you this coming 2022 election. Para sa totoong pagbabago green heart red heart victory hand oncoming fist,['1473535668039327753'],0
"me ranting about the election me sorry po, galit ako ngayon therapist it's okay, ako rin. hahaha. shet. lets gow",['1524996293646745603'],0
Not enha related. VOTE WISELY SA UPCOMING 2022 ELECTION. AT KUNG HINDI PA KAYO GALIT. BAKIT? #DapatSiLeni #LetLeniLead2022 #LabanLeni2022,['1446004392667193344'],0
@jose samaritan kahit ano pang sabihin nila kay BBM landslide pa din yan sa election 65 million voters baka maging 20 na lang na lang yan pag pinush nila ang DQ. kaya nga maraming nagparehistro para sa kanya smiling face with smiling eyes surewin naman yan dontworry,['1461462755190329347'],0
Ang kailangan po ni Pres. LENI ROBREDO eh mga kakampi at hindi dagdag na mga kaaway kaya wag na po tayong mang away dahil lang iba-iba ang mga SENADOR natin. Manhikayat po tayo ng mga boboto kay Pres. LENI at wag magtaboy! ELECTION IS ADDITION AND NOT DIVISION!#LeniIsMyPresident,['1449580791546011655'],0
"@WinwinEklabu @RethLawrence @ShockwaveAsia E bakit po parang Galit kayo? Don't Worry, Winner SI Leni #MarcosNumber1Sinungaling Ferolino COMELEC ITRs #AkoSiLenLen Angelica Panganiban Dawn Chang Ka Leody #KBPForum #kbppresidentialforum #Halalan2022 False Asia #ManggagawaVSMagnanakaw #AngPaitMoLenLen Dilaw [LINK]",['1496253052730232832'],0
